Area,District,Shop,Location,Part Code,Description,Brand,Product Family,Quantity,Selling Price,Inventory Value,Stock Status,MRP,MOP,Current Discount %,Comments / Discount Guideline,Remark,Commented By,Comment Date,Comment Time,Last Updated
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,ADVANTIS MWH-EKALA,BRDM,SCF-TD210ZCDL210S-1459L,SINGER COMBINED FREEZER-1459L,SINGER,DEEP FREEZERS,3,1199999,3599997,A,1199999,0,0.0%,No discount to be offered. This SKU is reserved for corporate or special orders.,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,DAHUA CCTV WAREHOUSE,NORMAL,DH-I-PFS3125-24ET-190,24-PORT FE POE+ 1-PORT GIGABIT COMBO POE SWITCH,DAHUA,SECURITY SYSTEMS,35,100333,3511655,A,100333,0,0.0%,,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,HOKANDARA WH REPAIR,DEFECTIVE,HON-X9B-12-256-BLK,HON X9B 12GB 256 BLK,HONOR,PHONE - SMART,27,129999,3509973,L,129999,77999,40.0%,"Displayed/Unboxed - 15% Additional Discount, Considering the severity of the damage (battery issues, display damage, and scratch marks), a discount of 50% to 70%, Parts missing (Cable, Adapter) Upto 50% - 60% Discount.",,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,MOBILE ADVANTI.EKALA,NORMAL,HON-CH-EARBUDS-S8-GRY,HONOR CHOICE EARBUDS S8 GREY,HONOR,PHONE ACCESSORIES,184,18999,3495816,A,18999,0,0.0%,"Active SKU, No Discounts applicable",,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,ADVANTIS MWH-EKALA,E-COMMERCE,M-FDE125CSV-S,MITSUBISHI 42K BTU NON INV - CEILING SUSPENDED,MITSUBISHI,AIR CONDITIONERS,4,849999,3399996,A,849999,747999,12.0%,OFFER FLAT 20%,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,MOBILE ADVANTI.EKALA,DMC,HON-X9CSMART-12-256-CYAN,HON X9CSMART 12 256 CYAN,HONOR,PHONE - SMART,34,99999,3399966,A,99999,74999,25.0%,"Displayed/Unboxed - 15% Additional Discount, Considering the severity of the damage (battery issues, display damage, and scratch marks), a discount of 50% to 70%, Parts missing (Cable, Adapter) Upto 50% - 60% Discount.",,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,ADVANTIS MWH-EKALA,NORMAL,B-HII64200MT,BEKO 60CM INDUCTION HOB,BEKO,BUILT IN PRODUCTS,15,226599,3398985,A,226599,148599,34.4%,,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,DAHUA CCTV WAREHOUSE,NORMAL,DH-A-HFW1239CP-A-LED-36B,2MP FULL COLOR HDCVI BULLET CAMEREA,DAHUA,SECURITY SYSTEMS,237,14330,3396210,A,14330,0,0.0%,,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,WAREHOUSE BONDED -DF,TRANSIT,SMGUA50AU7700,Samsung 50 UHD 4K Smart TV,SAMSUNG,TELEVISIONS - LED,15,224999,3374985,L,224999,168749,25.0%,"Rs.150,000/- Special Price",,,,,
DUTY FREE,DUTY FREE,DUTY FREE,NORMAL,PN-TH-55MX740N,PANASONIC 55' 4K UHD SMART TV (TH-55MX740N),PANASONIC,TELEVISIONS - LED,11,304999,3354989,A,304999,244999,19.7%,Up to 40%,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,MOBILE ADVANTI.EKALA,SALVAGE PARTS,ZTE-A76-5G-6GB-128GB-BLU,ZTE A76-5G 6GB 128GB BLUE,ZTE,PHONE - SMART,92,35999,3311908,A,35999,0,0.0%,"Displayed/Unboxed - 15% Additional Discount, Considering the severity of the damage (battery issues, display damage, and scratch marks), a discount of 50% to 70%, Parts missing (Cable, Adapter) Upto 50% - 60% Discount.",,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,MOBILE ADVANTI.EKALA,MARK,DELL-GK-AW410K-RGBMECH,DELL AW410K ALIENWARE RGB GAMING KE,DELL,COMPUTER  ACCESSORIES AND MONITORS,65,50799,3301935,O,50799,25399,50.0%,,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,ADVANTIS MWH-EKALA,BRDM,M-SRK09CRR-S,MITSUBISHI WM 9 BTU NON INVERTER AC,MITSUBISHI,AIR CONDITIONERS,13,249999,3249987,L,249999,189999,24.0%,OFFER FLAT 30%,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,MOBILE ADVANTI.EKALA,NORMAL,HON-CH-PEN-WH9,HON CH PEN HC WH9 ALL,HONOR,PHONE ACCESSORIES,216,14999,3239784,A,14999,0,0.0%,"Active SKU, No Discounts applicable",,,,,
ICD,ICD,INVENTORY CONTROL,TRANSIT,SASI36CC,SINGER 36 BTU CC INVERTER,SINGER,AIR CONDITIONERS,3,1074999,3224997,A,1074999,799999,25.6%,OBSOLETE - OFFER FLAT 80%,,,,,
SOUTH REGION COLOMBO AREA,SERVICE -COLOMBO METRO DISTRICT,SERVICE-COLOMBO,LOAN,B-ASL1342B,BEKO 588L FREESTANDING REFRIGERATOR,BEKO,REFRIGERATORS,4,799999,3199996,A,799999,399999,50.0%,Obsolete - Offer flat 80%,,,,,
